Time,BTC_total_value,Fiat_total_value,MAX,GRS,BTC,VTC,FTC,DGB,XMY,ETH,ZEC,ZCL,XZC,MUSIC,MONA,ZEN,BTG
1513985495,0.0034322121032550005,48.652,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905000002,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513985559,0.0034312069755490005,48.748,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905000002,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513985625,0.0034213854445592994,48.811,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905000002,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513985690,0.0034207946243436,48.526,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905000002,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513985755,0.0034143358799952005,48.424,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905000002,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513985820,0.0034177391501182004,48.037,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905000002,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513985885,0.0034144558429072998,48.198,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905000002,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513985953,0.0034138503057368997,48.081,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905000002,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513986019,0.0034159443095134997,47.756,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905000002,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513986087,0.0034072582898564,47.106,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905000002,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513986154,0.0033996364013532004,46.854,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905000002,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513986220,0.0033917057805206005,46.552,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905000002,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513986287,0.0033895409663190004,46.35,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905000002,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513986356,0.0033777275073293,45.942,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905000002,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513986429,0.0033753931500026995,45.773,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905000002,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513986502,0.0033515129026889003,45.788,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905000002,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513986577,0.0033692851513954995,45.95,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513986650,0.0033708035501817,45.715,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513986721,0.0033571225437306,46.053,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513986793,0.0033545530997548,46.184,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513986872,0.0033621101932784,46.241,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513986941,0.0033556160001673996,45.912,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513987012,0.0033548975949567995,46.17,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513987080,0.0033719258268746005,46.448,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513987150,0.0033677649975622998,46.559,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513987222,0.003364654757616,46.568,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513987291,0.0033719517455417,46.667,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513987362,0.0033840243134403997,46.984,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513987431,0.0033831007467537,46.971,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513987501,0.0033776978513851,47.074,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513987572,0.0033746624728262994,47.471,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513987641,0.0033736329091064005,47.503,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513987707,0.0033779689780230994,47.717,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513987774,0.0033813814019119995,47.894,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513987841,0.0033945197112538,47.983,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513987907,0.0033936716318715004,47.646,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513987975,0.0034142829001716007,47.724,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513988043,0.0034220451642522002,47.882,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513988109,0.0034006280013436003,47.62,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513988179,0.0034239745277772,47.934,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513988247,0.0034114789914546,47.704,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513988317,0.0034133320959981,47.731,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513988387,0.0034184386531588007,47.718,0.06404305,2.17722237,1.866e-05,0.36025591,15.69923531,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513988453,0.0034236809810954992,47.646,0.06404305,2.17722237,1.866e-05,0.36025591,15.69923531,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513988518,0.0034131077625050997,47.741,0.06404305,2.17722237,1.866e-05,0.36025591,15.69923531,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513988584,0.0034050503345147004,47.719,0.06404305,2.17722237,1.866e-05,0.36025591,15.69923531,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513988651,0.0034064876850343,47.767,0.06404305,2.17722237,1.866e-05,0.36025591,15.69923531,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513988717,0.0034156633706157995,48.035,0.06404305,2.17722237,1.866e-05,0.36025591,15.69923531,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513988786,0.0034088876985018993,47.779,0.06404305,2.17722237,1.866e-05,0.36025591,15.69923531,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513988853,0.0034080900429245002,47.76,0.06404305,2.17722237,1.866e-05,0.36025591,15.69923531,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513988919,0.0034219353732374,47.993,0.06404305,2.17722237,1.866e-05,0.36025591,15.69923531,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513988983,0.00343158767947,48.124,0.06404305,2.17722237,1.866e-05,0.36025591,15.69923531,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513989047,0.0034283044131385,48.388,0.06404305,2.17722237,1.866e-05,0.36025591,15.69923531,208.56108905,6.67408921,1.859e-05,0.00916378,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
