Time,BTC_total_value,Fiat_total_value,GRS,BTC,VTC,FTC,DGB,ETH,ZEC,ZCL,XZC,MUSIC,MONA,ZEN,BTG
1513588256,0.0008010084309869999,15.112,0.05373253,1.866e-05,0.19379887,4.86029783,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.28986671,0.02724391,0.0023089399999999998
1513588269,0.0008010087561260999,15.112,0.05373253,1.866e-05,0.19379887,4.86029783,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.28986671,0.02724391,0.0023089399999999998
1513588281,0.0008010087561260999,15.112,0.05373253,1.866e-05,0.19379887,4.86029783,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.28986671,0.02724391,0.0023089399999999998
1513588373,0.0008007471965244999,15.105,0.05373253,1.866e-05,0.19379887,4.86029783,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.28986671,0.02724391,0.0023089399999999998
1513588435,0.0008006693663168999,15.101,0.05373253,1.866e-05,0.19379887,4.86029783,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.28986671,0.02724391,0.0023089399999999998
1513588497,0.0008016871260307,15.113,0.05373253,1.866e-05,0.19379887,4.86029783,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.28986671,0.02724391,0.0023089399999999998
1513588563,0.0008006979729259001,15.087,0.05373253,1.866e-05,0.19379887,4.86029783,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.28986671,0.02724391,0.0023089399999999998
1513588625,0.0008023920450174,15.114,0.05373253,1.866e-05,0.19379887,4.86029783,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.28986671,0.02724391,0.0023089399999999998
1513588688,0.0007993803432063,15.045,0.05373253,1.866e-05,0.19379887,4.86029783,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.28986671,0.02724391,0.0023089399999999998
1513588750,0.0008006808143733,15.076,0.05373253,1.866e-05,0.19379887,4.86029783,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.28986671,0.02724391,0.0023089399999999998
1513588815,0.0008035014251133001,15.109,0.05373253,1.866e-05,0.19379887,4.86029783,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.28986671,0.02724391,0.0023089399999999998
1513588878,0.0008038044360448001,15.117,0.05373253,1.866e-05,0.19379887,4.86029783,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.28986671,0.02724391,0.0023089399999999998
1513588940,0.0008066640653588,15.174,0.05373253,1.866e-05,0.19379887,4.86029783,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.28986671,0.02724391,0.0023089399999999998
1513589003,0.0008052104708653002,15.12,0.05373253,1.866e-05,0.19379887,4.86029783,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.28986671,0.02724391,0.0023089399999999998
1513589066,0.0008065908098789001,15.126,0.05373253,1.866e-05,0.19379887,4.86029783,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.28986671,0.02724391,0.0023089399999999998
1513589130,0.000819618404832,15.359,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513589192,0.0008202186703799001,15.371,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513589254,0.0008223902939045999,15.402,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513589317,0.0008211070893724001,15.377,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513589379,0.0008206319588284001,15.38,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513589442,0.0008208637454495,15.428,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513589504,0.0008180847628536,15.354,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513589567,0.0008190625851118,15.394,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513589629,0.0008192837463163999,15.388,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513589692,0.0008199712818281001,15.416,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513589755,0.0008201666632743999,15.397,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513589818,0.0008205063333058,15.411,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513589880,0.0008196377761088001,15.398,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513589944,0.0008204486300211999,15.407,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513590010,0.0008205954723213999,15.41,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513590072,0.0008199842710590998,15.418,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513590135,0.0008201056620111,15.429,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513590198,0.0008218179602239,15.483,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513590266,0.0008218900060521,15.488,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513590329,0.0008225984390179,15.502,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513590392,0.0008253042847271999,15.552,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513590454,0.0008265915203896,15.573,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513590517,0.0008249827840376001,15.553,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513590579,0.0008283380797422001,15.617,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513590642,0.0008287078588556,15.621,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513590705,0.0008283926297562999,15.614,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513590768,0.0008284493156114999,15.618,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513590830,0.0008268783145734,15.588,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513590894,0.0008284647857151001,15.621,0.05373253,1.866e-05,0.19407622,4.88960775,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513590956,0.0008363162013415,15.778,0.05373253,1.866e-05,0.21068594000000002,4.889607750000001,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513591022,0.0008353280109336,15.754,0.05373253,1.866e-05,0.21068594000000002,4.889607750000001,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513591087,0.0008345743304483002,15.744,0.05373253,1.866e-05,0.21068594000000002,4.889607750000001,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513591151,0.0008350895195639001,15.75,0.05373253,1.866e-05,0.21068594000000002,4.889607750000001,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513591220,0.0008370456489828999,15.781,0.05373253,1.866e-05,0.21068594000000002,4.889607750000001,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513591283,0.0008362598113429001,15.777,0.05373253,1.866e-05,0.21068594000000002,4.889607750000001,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513591346,0.0008370437051626001,15.792,0.05373253,1.866e-05,0.21068594000000002,4.889607750000001,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513591409,0.0008370361995581,15.787,0.05373253,1.866e-05,0.21068594000000002,4.889607750000001,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513591471,0.0008377309063715999,15.791,0.05373253,1.866e-05,0.21068594000000002,4.889607750000001,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513591533,0.0008376002886873,15.789,0.05373253,1.866e-05,0.21068594000000002,4.889607750000001,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
1513591596,0.0008368947991964,15.78,0.05373253,1.866e-05,0.21068594000000002,4.889607750000001,64.53090691,1.859e-05,0.00276281,0.05351203,0.01256144,0.17891316,0.30714862000000004,0.02724391,0.0023089399999999998
