Time,BTC_total_value,Fiat_total_value,GRS,BTC,VTC,FTC,DGB,XMY,ETH,ZEC,ZCL,XZC,MUSIC,MONA,ZEN,BTG
1513704311,0.00143790468307,27.053,0.18381197,1.866e-05,0.23952804,8.60615307,99.69130499,3.67074307,1.859e-05,0.00355828,0.07726475,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013114069999999999
1513704381,0.0014378812447571002,27.048,0.18381197,1.866e-05,0.23952804,8.60615307,99.69130499,3.67074307,1.859e-05,0.00355828,0.07726475,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013114069999999999
1513704446,0.0014377277851436998,27.067,0.18381197,1.866e-05,0.23952804,8.60615307,99.69130499,3.67074307,1.859e-05,0.00355828,0.07726475,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013114069999999999
1513704510,0.0014355425519891,27.006,0.18381197,1.866e-05,0.23952804,8.60615307,99.69130499,3.67074307,1.859e-05,0.00355828,0.07726475,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013114069999999999
1513704574,0.001451975251656,27.317,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513704640,0.0014505486762544,27.281,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513704705,0.0014520805366881,27.314,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513704770,0.0014528691171046002,27.328,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513704836,0.0014540374017998,27.339,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513704901,0.0014540367092016999,27.315,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513704967,0.0014586297231581,27.398,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513705031,0.0014600957735379,27.408,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513705099,0.0014615725289062,27.391,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513705165,0.0014625010360738,27.397,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513705228,0.0014606986339922,27.348,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513705292,0.0014657379553967,27.404,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513705356,0.0014664851065716,27.385,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513705419,0.0014663296011442,27.375,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513705483,0.0014684957527187,27.416,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513705547,0.0014732597190128002,27.455,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513705613,0.001472730600943,27.383,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513705677,0.0014741349896229999,27.354,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513705741,0.0014743858511768,27.372,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513705806,0.0014724789863543998,27.334,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513705871,0.0014673067788990998,27.179,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513705940,0.0014639449171329998,27.065,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513706006,0.0014650822893373999,27.167,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513706069,0.0014668868131007002,27.172,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513706134,0.0014662263681258,27.191,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513706198,0.0014592170136857002,27.085,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513706264,0.0014606829255931,27.145,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513706328,0.0014604021472502,27.091,0.18381197,1.866e-05,0.23952804,8.723175249999999,99.69130499,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513706392,0.0014689722435106,27.289,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513706456,0.0014705237654379,27.318,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513706521,0.0014725947578866,27.345,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513706586,0.0014718469652487,27.335,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513706653,0.0014743051729109997,27.376,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513706723,0.0014729070896673999,27.323,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513706787,0.0014756530570314,27.35,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513706851,0.0014745411947499,27.32,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513706914,0.001473014935961,27.329,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513706978,0.0014717457175927,27.29,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513707041,0.0014697809768668,27.236,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513707104,0.0014681109333098,27.112,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
1513707168,0.0014670702415271,27.088,0.18381197,1.866e-05,0.23952804,8.779501269999999,103.37337553,3.67074307,1.859e-05,0.00355828,0.08216719,0.01256144,0.17891316,0.36671431000000004,0.05339789,0.013762429999999999
