Time,BTC_total,Fiat_total,MAX,GRS,BTC,VTC,FTC,DGB,XMY,ETH,ZEC,ZCL,XZC,MUSIC,MONA,ZEN,BTG
1513980885,0.003428386,48.878,0.06404305,2.07997166,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.09849181         ,0.03897644
1513980949,0.0034313599429523   ,48.905,0.06404305,2.07997166,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.09849181         ,0.03897644
1513981013,0.0034400779,49.013,0.06404305,2.07997166,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.09849181         ,0.03897644
1513981078,0.0034389896743943   ,49.066,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513981142,0.0034346428751912   ,48.987,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513981208,0.0034388249,49.136,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513981273,0.0034428122640234   ,49.258,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513981338,0.003445231209422199 ,49.282,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513981402,0.0034318972,49.128,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513981467,0.0034341652240594   ,49.169,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513981531,0.0034408123,49.282,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513981596,0.00343778169243     ,49.46 ,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513981660,0.0034353814,49.504,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513981724,0.0034353352125536   ,49.439,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513981788,0.0034309689,49.393,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513981853,0.0034288592,49.542,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
1513981918,0.0034283491,49.577,0.06404305,2.09216606,1.866e-05,0.36025591,15.63332471,205.20910526      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379,0.03924092
